n_features,added,r2_train,r2_test
1,10-d pcp,0.5296937027758889,0.41527285860145957
2,EVI Median,0.9100789689615315,0.5981831952631959
3,Rs,0.9650635612297338,0.6687899812778071
4,Tmin,0.9730342116543452,0.718769917391821
5,NDVI Mean,0.9782569149636734,0.7279427144766849
6,RHmax,0.9826954077663341,0.7449912046153946
7,Pcp,0.9814058145816309,0.7668611745024421
8,EVI Mean,0.9825356508248506,0.7704874929146396
9,Ts,0.9843362837296927,0.7697652610571385
10,DOY,0.9857383545691216,0.7808938872614883
11,U,0.9865680175264134,0.7907027589335951
12,RHmin,0.9875988107153474,0.7938791373157071
13,ASCE ETr,0.9883334426776886,0.7994799673837492
14,NDVI Median,0.9946571353473791,0.808628010030871
15,NDWI Median,0.9953171534068733,0.7926274618493999
16,Tmax,0.9962619204718866,0.8020927400016082
17,SAVI Median,0.9961430105293654,0.7937800165233262
18,NDWI Mean,0.9959187579558609,0.7955875024827515
19,SAVI Mean,0.9959081396630504,0.7914272690548013
20,MSAVI Mean,0.9962449188951191,0.7923927007290663
21,MSAVI Median,0.9960953063732413,0.7992981641510462
